url,bucket,confidence,evidence,suggested_action
https://floridahomecosts.com/pool/cost-to-install-salt-water-system-sarasota-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/pool/cost-to-replace-pool-equipment-florida-2026/,B,WEAK,"WEAK match (score=0.84, topic=pool): site-template/content/pool/cost-to-replace-pool-pump-in-florida-2026.md",REVIEW 301 to /pool/cost-to-replace-pool-pump-in-florida-2026/ (weak — verify intent matches)
https://floridahomecosts.com/pooling/cost-to-install-in-ground-pool-miami-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/pooling/cost-to-install-pool-fence-miami-2026/,A,STRONG,"slug match (score=0.88, topic=fence): site-template/content/exterior/cost-to-install-fence-in-miami-2026.md",301 redirect to /exterior/cost-to-install-fence-in-miami-2026/
https://floridahomecosts.com/pooling/cost-to-install-impact-windows-fort-lauderdale-2026/,A,STRONG,"slug match (score=1.00, topic=impact,windows): site-template/content/hurricane-protection/cost-to-install-impact-windows-in-fort-lauderdale-2026.md",301 redirect to /hurricane-protection/cost-to-install-impact-windows-in-fort-lauderdale-2026/
https://floridahomecosts.com/major-systems/cost-to-fix-water-damage-fort-lauderdale-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/insurance/cost-of-homeowners-insurance-fort-lauderdale-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/pool/cost-to-resurface-pool-deck-in-st-petersburg-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/major-systems/cost-to-repair-slab-foundation-tampa-2026/,B,STRONG,"slug match (score=0.90, topic=foundation): site-template/content/major-systems/cost-to-repair-foundation-in-tampa-2026.md",301 redirect to /major-systems/cost-to-repair-foundation-in-tampa-2026/
https://floridahomecosts.com/pool/cost-to-install-impact-glass-pool-fencing-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/pool/cost-to-rebuild-pool-in-tampa-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/interior/cost-to-replace-kitchen-cabinets-miami-2026/,B,STRONG,"slug match (score=1.00, topic=cabinets,kitchen): site-template/content/interior/cost-to-replace-kitchen-cabinets-in-miami-2026.md",301 redirect to /interior/cost-to-replace-kitchen-cabinets-in-miami-2026/
https://floridahomecosts.com/pooling/cost-to-replace-roof-miami-2026/,A,STRONG,"slug match (score=1.00, topic=roof): site-template/content/general/cost-to-replace-roof-in-miami-2026.md",301 redirect to /general/cost-to-replace-roof-in-miami-2026/
https://floridahomecosts.com/electrical/cost-to-install-generator-orlando-2026/,B,WEAK,"WEAK match (score=0.81, topic=generator): site-template/content/electrical/cost-to-install-whole-house-generator-in-orlando-2026.md",REVIEW 301 to /electrical/cost-to-install-whole-house-generator-in-orlando-2026/ (weak — verify intent matches)
https://floridahomecosts.com/electrical/cost-to-wire-home-for-ev-in-tampa-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/major-systems/cost-to-install-water-heater-tampa-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/interior/cost-to-replace-laminate-flooring-tampa-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/major-systems/cost-to-sewer-line-repair-tampa-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/interior/cost-to-install-kitchen-tile-backsplash-florida-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/hvac/cost-to-repair-ac-fort-lauderdale-2026/,B,STRONG,"slug match (score=0.90, topic=ac): site-template/content/hvac/cost-to-replace-ac-in-fort-lauderdale-2026.md",301 redirect to /hvac/cost-to-replace-ac-in-fort-lauderdale-2026/
https://floridahomecosts.com/tampa-roof-replacement-cost-2026,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/interior/cost-to-install-cabinets-florida-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/hvac/cost-to-install-evap-cooler-fort-lauderdale-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/interior/cost-to-remove-carpet-tampa-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/interior/cost-to-install-tile-flooring-tampa-2026/,B,STRONG,"slug match (score=1.00, topic=flooring,tile): site-template/content/interior/cost-to-install-tile-flooring-in-tampa-2026.md",301 redirect to /interior/cost-to-install-tile-flooring-in-tampa-2026/
https://floridahomecosts.com/hvac/cost-to-replace-ac-unit-fort-lauderdale-2026/,B,STRONG,"slug match (score=0.91, topic=ac): site-template/content/hvac/cost-to-replace-ac-in-fort-lauderdale-2026.md",301 redirect to /hvac/cost-to-replace-ac-in-fort-lauderdale-2026/
https://floridahomecosts.com/foundation/cost-to-slab-repair-miami-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/pool/cost-to-resurface-pool-fort-lauderdale-2026/,B,STRONG,"slug match (score=1.00, topic=pool,resurface): site-template/content/pool/cost-to-resurface-pool-in-fort-lauderdale-2026.md",301 redirect to /pool/cost-to-resurface-pool-in-fort-lauderdale-2026/
https://floridahomecosts.com/pool/cost-to-replace-pool-equipment-fort-lauderdale-2026/,B,WEAK,"WEAK match (score=0.87, topic=pool): site-template/content/pool/cost-to-replace-pool-pump-in-fort-lauderdale-2026.md",REVIEW 301 to /pool/cost-to-replace-pool-pump-in-fort-lauderdale-2026/ (weak — verify intent matches)
https://floridahomecosts.com/exterior/cost-to-install-pool-deck-miami-2026/,A,WEAK,"WEAK match (score=0.83, topic=pool): site-template/content/pool/cost-to-install-pool-heater-in-miami-2026.md",REVIEW 301 to /pool/cost-to-install-pool-heater-in-miami-2026/ (weak — verify intent matches)
https://floridahomecosts.com/hvac/cost-to-replace-ac-unit-orlando-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/major-systems/cost-to-repair-water-damage-orlando-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/hvac/cost-to-install-central-air-conditioning-orlando-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/plumbing/cost-to-fix-a-leak-orlando-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/hvac/cost-to-install-central-air-orlando-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/pool/cost-to-replace-pool-pump-miami-2026/,B,STRONG,"slug match (score=1.00, topic=pool,pump): site-template/content/pool/cost-to-replace-pool-pump-in-miami-2026.md",301 redirect to /pool/cost-to-replace-pool-pump-in-miami-2026/
https://floridahomecosts.com/plumbing/cost-to-install-backflow-preventer-in-florida-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/general/cost-to-replace-roof-in-fort-lauderdale-2026-2026/,B,STRONG,"slug match (score=1.00, topic=roof): site-template/content/general/cost-to-replace-roof-fort-lauderdale-2026.md",301 redirect to /general/cost-to-replace-roof-fort-lauderdale-2026/
https://floridahomecosts.com/plumbing/cost-to-install-water-heater-florida-2026/,B,WEAK,"WEAK match (score=0.86, topic=water): site-template/content/plumbing/cost-to-install-water-softener-in-florida-2026.md",REVIEW 301 to /plumbing/cost-to-install-water-softener-in-florida-2026/ (weak — verify intent matches)
https://floridahomecosts.com/interior/cost-to-install-kitchen-cabinets-miami-2026/,B,WEAK,"WEAK match (score=0.80, topic=cabinets,kitchen): site-template/content/interior/cost-to-replace-kitchen-cabinets-in-miami-2026.md",REVIEW 301 to /interior/cost-to-replace-kitchen-cabinets-in-miami-2026/ (weak — verify intent matches)
https://floridahomecosts.com/plumbing/cost-to-install-sewer-line-repair-florida-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/hvac/cost-to-heat-pump-installation-florida-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/exterior/cost-to-build-fence-miami-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/exterior/cost-to-seal-concrete-driveway-florida-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/pool/cost-to-install-pool-fence-fort-lauderdale-2026/,A,STRONG,"slug match (score=0.92, topic=fence): site-template/content/exterior/cost-to-install-fence-in-fort-lauderdale-2026.md",301 redirect to /exterior/cost-to-install-fence-in-fort-lauderdale-2026/
https://floridahomecosts.com/plumbing/cost-to-install-sump-pump-florida-2026/,B,STRONG,"slug match (score=1.00, topic=pump,sump): site-template/content/plumbing/cost-to-install-sump-pump-in-florida-2026.md",301 redirect to /plumbing/cost-to-install-sump-pump-in-florida-2026/
https://floridahomecosts.com/exterior/cost-to-clean-roof-orlando-2026/,A,WEAK,"WEAK match (score=0.81, topic=roof): site-template/content/general/cost-to-repair-roof-in-orlando-2026.md",REVIEW 301 to /general/cost-to-repair-roof-in-orlando-2026/ (weak — verify intent matches)
https://floridahomecosts.com/pooling/cost-to-install-hurricane-shutters-florida-2026/,A,STRONG,"slug match (score=1.00, topic=hurricane,shutters): site-template/content/hurricane-protection/cost-to-install-hurricane-shutters-in-florida-2026.md",301 redirect to /hurricane-protection/cost-to-install-hurricane-shutters-in-florida-2026/
https://floridahomecosts.com/home-maintenance/cost-to-inspect-home-florida-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/electrical/cost-to-replace-outlets-in-tampa-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/hurricane-protection/cost-to-install-impact-windows-fort-lauderdale-2026/,B,STRONG,"slug match (score=1.00, topic=impact,windows): site-template/content/hurricane-protection/cost-to-install-impact-windows-in-fort-lauderdale-2026.md",301 redirect to /hurricane-protection/cost-to-install-impact-windows-in-fort-lauderdale-2026/
https://floridahomecosts.com/foundation/cost-to-repair-foundation-florida-2026/,A,STRONG,"slug match (score=1.00, topic=foundation): site-template/content/major-systems/cost-to-repair-foundation-in-florida-2026.md",301 redirect to /major-systems/cost-to-repair-foundation-in-florida-2026/
https://floridahomecosts.com/plumbing/cost-to-replace-water-heater-florida-2026/,B,STRONG,"slug match (score=1.00, topic=heater,water): site-template/content/plumbing/cost-to-replace-water-heater-in-florida-2026.md",301 redirect to /plumbing/cost-to-replace-water-heater-in-florida-2026/
https://floridahomecosts.com/exterior/cost-to-install-outdoor-decking-florida-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/electrical/cost-to-install-outdoor-outlets-florida-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/exterior/cost-to-install-pavers-florida-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/hurricane-protection/cost-to-install-impact-windows-in-davie-2026/,E,,file exists now: site-template/content/hurricane-protection/cost-to-install-impact-windows-in-davie-2026.md,GSC validate as fixed (file currently published)
https://floridahomecosts.com/outdoor-living/cost-to-install-outdoor-kitchen-florida-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/electrical/cost-to-replace-outlet-miami-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/pool/cost-to-replace-pool-pump-florida-2026/,B,STRONG,"slug match (score=1.00, topic=pool,pump): site-template/content/pool/cost-to-replace-pool-pump-in-florida-2026.md",301 redirect to /pool/cost-to-replace-pool-pump-in-florida-2026/
https://floridahomecosts.com/plumbing/cost-to-install-whole-house-filter-florida-2026/,A,WEAK,"WEAK match (score=0.85, topic=whole): site-template/content/electrical/cost-to-install-whole-house-generator-florida-2026.md",REVIEW 301 to /electrical/cost-to-install-whole-house-generator-florida-2026/ (weak — verify intent matches)
https://floridahomecosts.com/plumbing/cost-to-repair-plumbing-leaks-tampa-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/interior/cost-to-install-hardwood-floors-orlando-2026/,B,WEAK,"WEAK match (score=0.83, topic=floors,hardwood): site-template/content/interior/cost-to-install-hardwood-floors-miami-2026.md",REVIEW 301 to /interior/cost-to-install-hardwood-floors-miami-2026/ (weak — verify intent matches)
https://floridahomecosts.com/roofing/cost-to-replace-flat-roof-fort-lauderdale-2026/,B,STRONG,"slug match (score=1.00, topic=flat,roof): site-template/content/roofing/cost-to-replace-flat-roof-in-fort-lauderdale-2026.md",301 redirect to /roofing/cost-to-replace-flat-roof-in-fort-lauderdale-2026/
https://floridahomecosts.com/pooling/cost-to-repair-pool-liner-florida-2026/,D,,"no internal source found (no file, no alias, no publog, no queue, no sitemap hit)",GSC validate as fixed; 410 if persistent
https://floridahomecosts.com/electrical/cost-to-upgrade-electrical-panel-fort-lauderdale-2026/,B,STRONG,"slug match (score=1.00, topic=electrical,panel): site-template/content/electrical/cost-to-upgrade-electrical-panel-in-fort-lauderdale-2026.md",301 redirect to /electrical/cost-to-upgrade-electrical-panel-in-fort-lauderdale-2026/
https://floridahomecosts.com/cost-to-replace-roof-orlando-2026,A,STRONG,"slug match (score=1.00, topic=roof): site-template/content/general/cost-to-replace-roof-in-orlando-2026.md",301 redirect to /general/cost-to-replace-roof-in-orlando-2026/
https://floridahomecosts.com/solar/cost-to-install-solar-panels-florida-2026/,A,STRONG,"slug match (score=1.00, topic=panels,solar): site-template/content/major-systems/cost-to-install-solar-panels-in-florida-2026.md",301 redirect to /major-systems/cost-to-install-solar-panels-in-florida-2026/
https://floridahomecosts.com/interior/cost-to-install-hardwood-floors-miami-2026/,E,,file exists now: site-template/content/interior/cost-to-install-hardwood-floors-miami-2026.md,GSC validate as fixed (file currently published)
https://floridahomecosts.com/interior/cost-to-install-tile-floors-orlando-2026/,B,ALREADY_REMEDIATED,static redirect: site-template/static/interior/cost-to-install-tile-floors-orlando-2026/index.html,"GSC validate as fixed (static index.html redirect already in place; WARNING: file is currently deleted in working tree, restore before next deploy)"
https://floridahomecosts.com/electrical/cost-to-install-home-generators-miami-2026/,B,ALREADY_REMEDIATED,front-matter alias → site-template/content/electrical/cost-to-install-whole-house-generator-in-miami-2026.md,GSC validate as fixed (Hugo alias already redirects to /electrical/cost-to-install-whole-house-generator-in-miami-2026/)
https://floridahomecosts.com/hurricane-protection/cost-to-install-impact-windows-tampa-2026/,B,ALREADY_REMEDIATED,front-matter alias → site-template/content/hurricane-protection/cost-to-install-impact-windows-in-tampa-2026.md,GSC validate as fixed (Hugo alias already redirects to /hurricane-protection/cost-to-install-impact-windows-in-tampa-2026/)
https://floridahomecosts.com/interior/cost-to-paint-interior-walls-fort-lauderdale-2026/,B,ALREADY_REMEDIATED,front-matter alias → site-template/content/interior/cost-to-paint-interior-of-house-in-fort-lauderdale-2026.md,GSC validate as fixed (Hugo alias already redirects to /interior/cost-to-paint-interior-of-house-in-fort-lauderdale-2026/)
